player_id,player_name,firstname,lastname,number,position,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,rating,team_id,team_name,league,season,captain,shots_total,shots_on,goals_total,goals_conceded,goals_assists,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_success,penalty_missed,penalty_saved,games_appearences,games_minutes_played,games_lineups,substitutes_in,substitutes_out,substitutes_bench
8563,Lassana Diarra,Lassana,Diarra,NA,Midfielder,34,10/03/1985,Paris,France,France,173 cm,73 kg,NA,6.466666,85,Paris Saint Germain,Ligue 1,2018-2019,0,0,0,0,0,0,131,1,89,1,0,2,26,10,5,4,3,6,0,0,0,0,0,0,0,0,3,160,2,1,2,7
8563,Lassana Diarra,Lassana,Diarra,NA,Midfielder,34,10/03/1985,Paris,France,France,173 cm,73 kg,NA,NA,85,Paris Saint Germain,Coupe de la Ligue,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8563,Lassana Diarra,Lassana,Diarra,NA,Midfielder,34,10/03/1985,Paris,France,France,173 cm,73 kg,NA,NA,85,Paris Saint Germain,UEFA Champions League,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
85062,Thiago Motta,Thiago,Motta,NA,Midfielder,36,28/08/1982,São Bernardo do Campo,Brazil,Italy,187 cm,83 kg,NA,NA,85,Paris Saint Germain,Ligue 1,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1578,Giovani Lo Celso,Giovani,Lo Celso,NA,Midfielder,24,09/04/1996,Rosario,Argentina,Argentina,177 cm,68 kg,NA,6.700000,85,Paris Saint Germain,Ligue 1,2018-2019,0,0,0,0,0,0,13,0,100,1,0,0,4,3,0,0,2,1,0,0,0,0,0,0,0,0,1,10,0,1,0,3
269,Christopher Nkunku,Christopher,Nkunku,NA,Midfielder,23,14/11/1997,Lagny-sur-Marne,France,France,178 cm,68 kg,NA,7.005263,85,Paris Saint Germain,Ligue 1,2018-2019,0,23,6,3,0,2,560,17,90,15,2,8,165,86,38,23,30,21,0,0,0,0,0,0,0,0,22,1153,13,9,6,23
269,Christopher Nkunku,Christopher,Nkunku,NA,Midfielder,23,14/11/1997,Lagny-sur-Marne,France,France,178 cm,68 kg,NA,NA,85,Paris Saint Germain,Coupe de la Ligue,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,78,1,0,1,1
269,Christopher Nkunku,Christopher,Nkunku,NA,Midfielder,23,14/11/1997,Lagny-sur-Marne,France,France,178 cm,68 kg,NA,NA,85,Paris Saint Germain,Coupe de France,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,167,2,3,2,4
269,Christopher Nkunku,Christopher,Nkunku,NA,Midfielder,23,14/11/1997,Lagny-sur-Marne,France,France,178 cm,68 kg,NA,NA,85,Paris Saint Germain,UEFA Champions League,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
277,M. Diaby,Moussa,Diaby,NA,Attacker,21,07/07/1999,Paris,France,France,170 cm,65 kg,NA,6.820833,85,Paris Saint Germain,Ligue 1,2018-2019,0,23,7,2,0,6,428,20,81,8,1,12,115,42,36,20,6,15,1,0,0,0,0,0,0,0,25,1129,10,15,4,26
